Block credential,City,Country/Region,Department,DirSyncEnabled,Display name,Fax,First name,Last dirsync time,Last name,Last password change time stamp,License assignment details,Licenses,Mobile Phone,Oath token meta data,Object Id,Office,Password never expires,Phone number,Postal code,Preferred data location,Preferred language,Proxy addresses,Release track,Soft deletion time stamp,State,Street address,Strong password required,Title,Usage location,User principal name,When created
False,Bellevue,United States,Retail,,Adele Vance,,Adele,,Vance,2022-04-13 14:28:27Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,1d93edff-1b4c-456a-9b9b-bfe2d58affb8,18/2111,,'+1 425 555 0109,98004,,en-US,SMTP:AdeleV@8n1q68.onmicrosoft.com,,,WA,"205 108th Ave. NE, Suite 400",,Retail Manager,US,AdeleV@8n1q68.onmicrosoft.com,2022-04-08 21:13:46Z
False,San Diego,United States,Marketing,,Alex Wilber,,Alex,,Wilber,2022-04-13 14:28:28Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,84c736c3-50ae-4c7c-b669-b18601c8e28c,131/1104,,'+1 858 555 0110,92121,,en-US,SMTP:AlexW@8n1q68.onmicrosoft.com,,,CA,"9256 Towne Center Dr., Suite 400",,Marketing Assistant,US,AlexW@8n1q68.onmicrosoft.com,2022-04-08 21:13:47Z
False,Birmingham,United States,HR,,Diego Siciliani,,Diego,,Siciliani,2022-04-13 14:28:28Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,230010b8-ba6f-47be-905c-46885ad8a786,14/1108,,'+1 205 555 0108,35243,,en-US,SMTP:DiegoS@8n1q68.onmicrosoft.com,,,AL,3535 Gradview Parkway Suite 335,,HR Manager,US,DiegoS@8n1q68.onmicrosoft.com,2022-04-08 21:13:48Z
False,Bloomington,United States,R&D,,Grady Archie,,Grady,,Archie,2022-04-13 14:28:28Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,0b862028-62a8-4a10-8a1c-9258811efe6a,19/2109,,'+1 309 555 0104,61704,,en-US,SMTP:GradyA@8n1q68.onmicrosoft.com,,,IL,"2203 E. Empire St., Suite J",,Designer,US,GradyA@8n1q68.onmicrosoft.com,2022-04-08 21:13:49Z
False,Fort Lauderdale,United States,R&D,,Henrietta Mueller,,Henrietta,,Mueller,2022-04-13 14:28:29Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,d19ddf95-d83e-4e0c-ab68-f97ef15ebdd0,18/1106,,'+1 954 555 0118,33309,,en-US,SMTP:HenriettaM@8n1q68.onmicrosoft.com,,,FL,"6750 North Andrews Ave., Suite 400",,Developer,US,HenriettaM@8n1q68.onmicrosoft.com,2022-04-08 21:13:50Z
False,Tulsa,United States,Sales,,Isaiah Langer,,Isaiah,,Langer,2022-04-13 14:28:29Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,cff259a4-16b5-40d7-bd4c-cd7d6fbf4a60,20/1101,,'+1 918 555 0101,74133,,en-US,SMTP:IsaiahL@8n1q68.onmicrosoft.com,,,OK,"7633 E. 63rd Place, Suite 300",,Sales Rep,US,IsaiahL@8n1q68.onmicrosoft.com,2022-04-08 21:13:51Z
False,,,,,Joe Choi,,Joe,,Choi,2022-04-13 14:28:26Z,,Microsoft Power Automate Free+Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,18cd601b-158d-4c6c-816e-b11108e3c38f,,,16478868946,,,en-CA,SMTP:joe.choi@8n1q68.onmicrosoft.com+smtp:kv8@8n1q68.onmicrosoft.com,,,,,,,US,joe.choi@8n1q68.onmicrosoft.com,2022-04-08 17:14:48Z
False,Louisville,United States,Engineering,,Johanna Lorenz,,Johanna,,Lorenz,2022-04-13 14:28:29Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,a5d4946d-4b92-428a-9db7-5e52c4ba1d7b,23/2102,,'+1 502 555 0102,40223,,en-US,SMTP:JohannaL@8n1q68.onmicrosoft.com,,,KY,"9900 Corporate Campus Dr., Suite 3000",,Senior Engineer,US,JohannaL@8n1q68.onmicrosoft.com,2022-04-08 21:13:52Z
False,Charlotte,United States,Legal,,Joni Sherman,,Joni,,Sherman,2022-04-13 14:28:30Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,ca86b963-4913-4e43-ad19-c9b9d9036dc5,20/1109,,'+1 980 555 0101,28273,,en-US,SMTP:JoniS@8n1q68.onmicrosoft.com,,,NC,8055 Microsoft Way,,Paralegal,US,JoniS@8n1q68.onmicrosoft.com,2022-04-08 21:13:53Z
False,Overland Park,United States,Manufacturing,,Lee Gu,,Lee,,Gu,2022-04-13 14:28:26Z,,Microsoft 365 E5 Developer (without Windows and Audio Conferencing),,,52478a5a-1d9c-4ab3-b8b4-3271dab45763,23/3101,,'+1 913 555 0101,66210,,en-US,SMTP:LeeG@8n1q68.onmicrosoft.com,,,KS,"10801 Mastin Blvd., Suite 620",,Director,US,LeeG@8n1q68.onmicrosoft.com,2022-04-08 21:13:43Z
